hrwage,educ,female,fulltimely
18.26923,College degree,0,1.0
.,College degree,1,.
.,.,1,.
7.6957693,Some college,1,1.0
.,.,1,.
.,.,0,.
175.92592,College degree,0,1.0
23.076923,College degree,1,1.0
.,Less than HS,0,.
.,.,1,.
25.0,Some college,0,1.0
.,Some college,1,.
.,HS diploma/GED,1,.
.,Less than HS,1,.
.,HS diploma/GED,1,.
.,Less than HS,0,.
23.75,HS diploma/GED,1,0.0
.,Some college,0,.
8.461538,HS diploma/GED,1,0.0
5.769231,HS diploma/GED,0,1.0
.,Some college,1,.
5.769231,Less than HS,1,1.0
.,Some college,0,.
7.6923075,Some college,0,1.0
9.134615,HS diploma/GED,0,1.0
.,Less than HS,0,.
50.0,Graduate degree,1,0.0
26.442308,College degree,1,1.0
22.115385,College degree,0,1.0
.,.,1,.
.,.,1,.
6.730769,HS diploma/GED,0,1.0
0.0,College degree,0,1.0
.,HS diploma/GED,1,.
.,Graduate degree,0,.
.,Some college,1,.
.,HS diploma/GED,0,.
16.826923,HS diploma/GED,0,1.0
14.423077,Some college,1,0.0
28.846153,HS diploma/GED,0,1.0
32.21154,Some college,1,1.0
.,.,0,.
26.442308,College degree,1,1.0
33.653847,College degree,0,1.0
20.833334,Some college,0,0.0
62.666668,College degree,0,1.0
38.46154,College degree,0,1.0
38.46154,College degree,0,1.0
48.295456,Graduate degree,1,1.0
.,.,0,.
.,.,0,.
35.897434,HS diploma/GED,0,1.0
31.25,Graduate degree,1,1.0
22.222221,Some college,0,0.0
49.194992,College degree,1,1.0
19.23077,HS diploma/GED,0,0.0
28.846153,Graduate degree,0,1.0
.,College degree,0,.
20.356508,College degree,0,0.0
9.391771,HS diploma/GED,1,1.0
49.51923,Graduate degree,1,1.0
18.26923,HS diploma/GED,0,1.0
5.1025643,HS diploma/GED,0,0.0
9.5,Less than HS,0,0.0
.,HS diploma/GED,1,.
6.7708335,HS diploma/GED,0,1.0
19.486538,Some college,0,1.0
25.961538,College degree,1,1.0
.,Some college,1,.
.,HS diploma/GED,0,.
11.094231,College degree,0,0.0
25.385096,Graduate degree,1,1.0
11.538462,HS diploma/GED,1,1.0
28.846153,HS diploma/GED,0,1.0
.,Some college,1,.
0.0,Graduate degree,1,0.0
0.0,Graduate degree,0,0.0
17.307692,HS diploma/GED,0,1.0
24.038462,Graduate degree,1,1.0
.,Graduate degree,1,.
.,Graduate degree,0,.
.,College degree,1,.
15.384615,HS diploma/GED,1,1.0
16.826923,HS diploma/GED,1,1.0
.,Some college,1,.
15.625,HS diploma/GED,1,1.0
.,.,1,.
.,.,0,.
.,HS diploma/GED,0,.
.,HS diploma/GED,1,.
4.524887,College degree,1,1.0
.,Less than HS,0,.
.,Less than HS,1,.
57.692307,HS diploma/GED,1,1.0
0.0,HS diploma/GED,0,0.0
120.19231,Graduate degree,0,1.0
.,College degree,1,.
.,.,1,.
.,.,0,.
18.75,HS diploma/GED,1,1.0
20.0,HS diploma/GED,0,1.0
.,Some college,1,.
.,Some college,0,.
7.2115383,HS diploma/GED,1,1.0
.,.,0,.
48.076923,Graduate degree,0,1.0
24.0,HS diploma/GED,1,0.0
.,HS diploma/GED,0,.
.,Some college,1,.
18.461538,HS diploma/GED,1,0.0
.,Less than HS,1,.
.,Some college,1,.
34.454807,Graduate degree,0,1.0
25.373398,Graduate degree,1,0.0
.,.,0,.
.,.,1,.
.,.,1,.
.,HS diploma/GED,1,.
.,Less than HS,0,.
.,.,0,.
.,Less than HS,1,.
32.05128,Graduate degree,1,1.0
16.02564,College degree,1,0.0
19.711538,HS diploma/GED,1,1.0
.,HS diploma/GED,0,.
12.980769,HS diploma/GED,0,1.0
.,.,1,.
.,HS diploma/GED,1,.
.,HS diploma/GED,0,.
7.8125,Less than HS,1,0.0
.,College degree,1,.
13.125,Some college,1,0.0
0.0,Some college,0,0.0
5.1282053,Some college,1,1.0
.,Some college,0,.
.,.,0,.
.,.,1,.
12.980769,Some college,0,1.0
.,Graduate degree,0,.
.,Some college,1,.
.,.,1,.
0.0,Less than HS,0,1.0
.,Less than HS,1,.
.,Less than HS,1,.
.,Less than HS,0,.
.,Less than HS,1,.
.,Less than HS,1,.
.,Less than HS,1,.
.,.,1,.
.,.,1,.
.,.,1,.
.,.,0,.
.,.,0,.
9.469697,College degree,0,1.0
.,.,1,.
.,.,0,.
.,College degree,1,.
.,HS diploma/GED,1,.
0.0,Graduate degree,0,1.0
13.942307,Some college,1,1.0
.,HS diploma/GED,1,.
0.0,Less than HS,0,1.0
.,College degree,1,.
.,Less than HS,1,.
52.884617,Graduate degree,0,1.0
21.153847,Graduate degree,1,1.0
.,.,1,.
20.192308,College degree,0,1.0
19.23077,Graduate degree,1,1.0
24.134615,Graduate degree,1,0.0
14.423077,Graduate degree,1,1.0
62.5,College degree,0,1.0
36.057693,College degree,1,1.0
6.4102564,Some college,1,0.0
0.0,College degree,0,1.0
0.0,College degree,1,1.0
.,HS diploma/GED,1,.
.,.,1,.
42.78846,Graduate degree,0,1.0
37.5,HS diploma/GED,1,1.0
7.6923075,Less than HS,0,0.0
.,.,1,.
.,Graduate degree,1,.
17.521368,Some college,0,1.0
41.65,Some college,0,1.0
.,Less than HS,0,.
.,HS diploma/GED,0,.
.,HS diploma/GED,1,.
57.692307,Graduate degree,0,1.0
.,Graduate degree,1,.
.,College degree,1,.
0.0,Less than HS,0,1.0
.,Some college,1,.
.,.,0,.
.,.,0,.
.,Graduate degree,1,.
.,HS diploma/GED,0,.
21.634615,HS diploma/GED,1,1.0
9.134615,HS diploma/GED,0,1.0
.,Graduate degree,0,.
73.55769,HS diploma/GED,0,1.0
45.192307,Graduate degree,1,1.0
0.0,Some college,0,1.0
156.25,HS diploma/GED,1,0.0
.,.,0,.
.,.,0,.
.,HS diploma/GED,1,.
.,HS diploma/GED,0,.
.,HS diploma/GED,1,.
0.0,HS diploma/GED,0,1.0
19.23077,Graduate degree,1,1.0
7.25,Graduate degree,0,1.0
22.2,Some college,0,1.0
.,Less than HS,1,.
20.192308,HS diploma/GED,0,1.0
.,HS diploma/GED,1,.
.,Some college,0,.
.,Less than HS,0,.
.,.,0,.
.,HS diploma/GED,0,.
.,HS diploma/GED,0,.
17.788462,HS diploma/GED,1,1.0
10.096154,HS diploma/GED,0,1.0
0.0,HS diploma/GED,0,1.0
.,Some college,1,.
22.5,HS diploma/GED,0,1.0
14.423077,Less than HS,1,1.0
14.444445,Less than HS,0,0.0
.,.,0,.
22.307692,HS diploma/GED,0,1.0
19.741922,Some college,1,1.0
20.192308,College degree,0,1.0
.,HS diploma/GED,1,.
12.980769,HS diploma/GED,0,1.0
17.307692,Graduate degree,1,1.0
62.5,Graduate degree,0,1.0
.,.,1,.
.,.,0,.
.,Some college,1,.
39.615383,College degree,1,1.0
.,Graduate degree,0,.
.,College degree,1,.
8.974359,Some college,1,0.0
.,Less than HS,1,.
13.636364,HS diploma/GED,0,1.0
.,HS diploma/GED,1,.
8.653846,Less than HS,0,1.0
.,HS diploma/GED,1,.
.,.,1,.
.,Less than HS,1,.
.,Graduate degree,1,.
.,.,0,.
120.19231,Graduate degree,0,1.0
8.346154,HS diploma/GED,1,0.0
.,Less than HS,1,.
.,.,1,.
21.829521,HS diploma/GED,0,1.0
11.538462,HS diploma/GED,1,0.0
9.230769,Some college,1,0.0
17.692308,College degree,1,0.0
26.637691,Graduate degree,0,1.0
.,Less than HS,0,.
.,.,0,.
18.0,HS diploma/GED,0,0.0
18.028847,HS diploma/GED,0,1.0
32.21154,HS diploma/GED,1,1.0
.,Some college,1,.
.,Some college,1,.
.,.,0,.
0.0,HS diploma/GED,0,0.0
12.5,HS diploma/GED,1,0.0
.,Some college,0,.
.,Less than HS,1,.
.,Less than HS,0,.
22.5,HS diploma/GED,0,1.0
8.653846,HS diploma/GED,1,1.0
.,Some college,1,.
23.076923,HS diploma/GED,1,1.0
.,Less than HS,0,.
.,Some college,1,.
.,Some college,1,.
0.0,Some college,0,1.0
0.0,Some college,1,1.0
.,Less than HS,0,.
.,.,0,.
0.0,HS diploma/GED,0,1.0
.,HS diploma/GED,0,.
19.23077,HS diploma/GED,0,1.0
48.076923,College degree,0,1.0
24.038462,College degree,1,1.0
.,Less than HS,0,.
.,.,1,.
26.175213,Some college,1,1.0
15.0,College degree,1,1.0
0.0,Some college,0,1.0
9.0,Less than HS,1,1.0
.,.,0,.
.,HS diploma/GED,1,.
7.0,HS diploma/GED,0,0.0
.,Some college,0,.
23.076923,College degree,1,1.0
28.044872,Some college,1,1.0
7.2115383,HS diploma/GED,0,1.0
.,Less than HS,1,.
.,Less than HS,1,.
.,.,1,.
.,.,1,.
.,HS diploma/GED,1,.
.,.,1,.
.,Some college,1,.
.,Graduate degree,1,.
41.666668,College degree,1,1.0
4.1538463,HS diploma/GED,1,1.0
14.423077,HS diploma/GED,1,1.0
.,HS diploma/GED,0,.
.,.,0,.
.,.,0,.
.,HS diploma/GED,0,.
13.221154,College degree,1,0.0
.,.,1,.
.,College degree,1,.
.,HS diploma/GED,1,.
18.131868,Some college,1,1.0
22.846153,HS diploma/GED,0,1.0
19.428572,Some college,1,1.0
.,.,0,.
.,.,0,.
43.26923,Graduate degree,1,1.0
54.807693,Graduate degree,0,1.0
33.653847,College degree,0,1.0
.,Graduate degree,1,.
.,.,1,.
.,.,0,.
16.0,College degree,1,1.0
.,Less than HS,1,.
.,HS diploma/GED,1,.
5.2083335,HS diploma/GED,0,0.0
.,.,1,.
7.2115383,HS diploma/GED,0,1.0
.,HS diploma/GED,1,.
.,.,0,.
.,.,0,.
.,.,1,.
.,College degree,0,.
.,Less than HS,1,.
16.826923,Less than HS,1,0.0
.,Some college,1,.
25.48077,Less than HS,1,1.0
33.653847,College degree,0,1.0
.,Less than HS,1,.
28.846153,Graduate degree,0,1.0
36.057693,Graduate degree,1,1.0
.,.,0,.
.,.,1,.
12.5,Graduate degree,1,0.0
9.6,Graduate degree,0,0.0
.,HS diploma/GED,0,.
.,HS diploma/GED,1,.
44.270832,HS diploma/GED,0,1.0
10.39501,Some college,1,1.0
.,Some college,1,.
28.044872,Some college,1,0.0
25.0,Some college,0,1.0
.,.,1,.
.,.,1,.
2.9423077,College degree,1,0.0
0.0,Some college,0,1.0
10.555555,HS diploma/GED,0,0.0
.,Less than HS,0,.
0.0,College degree,0,1.0
7.2115383,Some college,1,1.0
.,.,0,.
.,.,1,.
.,HS diploma/GED,0,.
.,HS diploma/GED,1,.
16.538462,Graduate degree,1,1.0
.,Some college,1,.
21.031746,Some college,0,0.0
.,HS diploma/GED,1,.
.,.,1,.
22.5,HS diploma/GED,0,1.0
0.0,HS diploma/GED,1,1.0
0.0,HS diploma/GED,0,0.0
.,Some college,1,.
7.6923075,College degree,1,1.0
0.0,Some college,0,0.0
22.435898,Graduate degree,1,0.0
.,Less than HS,0,.
.,.,1,.
.,.,0,.
.,.,1,.
12.019231,College degree,1,1.0
24.038462,HS diploma/GED,0,1.0
.,Some college,1,.
.,Some college,0,.
.,HS diploma/GED,1,.
.,HS diploma/GED,1,.
.,.,0,.
.,.,1,.
.,.,1,.
11.813187,Some college,1,1.0
74.51923,Graduate degree,0,1.0
38.46154,College degree,1,1.0
19.23077,HS diploma/GED,0,1.0
.,HS diploma/GED,1,.
.,Less than HS,0,.
.,Less than HS,1,.
15.384615,Graduate degree,0,0.0
24.0,Graduate degree,1,0.0
19.23077,College degree,1,1.0
38.46154,College degree,0,1.0
26.442308,Some college,1,1.0
3.75,Some college,1,1.0
6.6666665,Less than HS,0,0.0
16.826923,HS diploma/GED,0,1.0
21.634615,Some college,0,1.0
.,.,0,.
0.0,College degree,0,1.0
.,College degree,1,.
.,.,0,.
.,.,0,.
.,.,0,.
24.038462,HS diploma/GED,0,1.0
.,HS diploma/GED,1,.
.,HS diploma/GED,1,.
0.0,Less than HS,1,1.0
.,Some college,0,.
10.0,HS diploma/GED,0,1.0
12.5,HS diploma/GED,1,1.0
13.942307,Some college,1,1.0
20.192308,Some college,0,1.0
.,.,1,.
.,.,0,.
72.11539,College degree,0,1.0
72.11539,College degree,0,1.0
.,Graduate degree,1,.
8.333333,Some college,1,0.0
20.192308,Some college,0,1.0
.,.,1,.
.,Less than HS,1,.
.,Graduate degree,0,.
.,Some college,1,.
31.25,HS diploma/GED,0,1.0
21.634615,Some college,0,1.0
.,HS diploma/GED,1,.
12.980769,Some college,1,1.0
.,.,0,.
73.9645,Graduate degree,1,1.0
11.094674,Some college,0,1.0
.,.,0,.
.,.,0,.
24.778107,Some college,0,1.0
13.683432,Some college,1,1.0
.,.,1,.
.,.,0,.
29.411764,Some college,1,1.0
15.0,HS diploma/GED,0,1.0
.,HS diploma/GED,1,.
.,HS diploma/GED,0,.
.,HS diploma/GED,1,.
.,HS diploma/GED,1,.
58.080807,Graduate degree,1,0.0
57.692307,Graduate degree,0,1.0
.,.,1,.
.,.,1,.
.,.,1,.
.,HS diploma/GED,0,.
.,HS diploma/GED,1,.
.,Some college,1,.
38.46154,HS diploma/GED,0,1.0
.,HS diploma/GED,1,.
.,.,1,.
.,HS diploma/GED,1,.
19.78022,HS diploma/GED,0,1.0
43.639053,College degree,0,1.0
38.46154,College degree,0,1.0
29.585798,College degree,1,1.0
72.11539,Graduate degree,0,1.0
25.961538,College degree,1,1.0
.,.,0,.
25.48077,HS diploma/GED,0,1.0
.,Less than HS,0,.
9.829932,College degree,0,0.0
28.483654,College degree,0,1.0
52.884617,College degree,1,1.0
49.03846,College degree,0,1.0
0.0,Graduate degree,1,0.0
.,.,1,.
.,.,1,.
12.019231,Some college,1,1.0
14.423077,HS diploma/GED,0,1.0
28.846153,HS diploma/GED,0,1.0
.,HS diploma/GED,1,.
.,.,1,.
.,HS diploma/GED,0,.
.,Some college,0,.
.,Some college,1,.
0.0,College degree,0,0.0
0.0,Graduate degree,0,1.0
.,HS diploma/GED,0,.
0.21153846,HS diploma/GED,1,1.0
.,Less than HS,1,.
5.769231,HS diploma/GED,0,1.0
8.461538,HS diploma/GED,0,1.0
36.057693,HS diploma/GED,0,1.0
28.846153,HS diploma/GED,1,1.0
11.242603,HS diploma/GED,0,0.0
41.666668,Some college,0,1.0
.,Less than HS,1,.
8.974359,Some college,1,0.0
9.615385,Some college,0,0.0
9.615385,Some college,0,0.0
.,Some college,1,.
.,HS diploma/GED,0,.
47.916668,Graduate degree,1,1.0
21.634615,Some college,1,1.0
144.23077,Some college,0,1.0
.,Less than HS,1,.
.,.,0,.
0.0,College degree,0,1.0
28.846153,College degree,0,1.0
11.538462,HS diploma/GED,1,1.0
.,HS diploma/GED,0,.
.,HS diploma/GED,1,.
44.71154,Graduate degree,1,1.0
31.73077,Graduate degree,1,1.0
412.5,College degree,0,0.0
.,College degree,1,.
.,Less than HS,1,.
19.23077,College degree,1,1.0
89.28571,College degree,0,1.0
66.23932,Graduate degree,0,1.0
52.136753,Graduate degree,1,1.0
.,.,0,.
.,.,0,.
.,Less than HS,0,.
8.589744,Some college,1,0.0
9.0,HS diploma/GED,1,1.0
.,Graduate degree,1,.
.,Less than HS,1,.
.,College degree,0,.
7.2115383,HS diploma/GED,0,0.0
53.418804,College degree,0,1.0
60.096153,College degree,1,1.0
15.384615,Graduate degree,1,1.0
8.6875,HS diploma/GED,1,0.0
.,College degree,0,.
48.076923,Some college,0,1.0
51.442307,College degree,1,1.0
0.0,HS diploma/GED,0,1.0
.,Less than HS,0,.
13.461538,HS diploma/GED,0,1.0
6.5789475,HS diploma/GED,1,1.0
38.11442,College degree,0,1.0
14.979895,Some college,1,0.0
12.1875,Some college,0,0.0
2.2115386,Some college,0,1.0
.,Less than HS,0,.
.,Some college,1,.
12.0197115,Some college,0,1.0
22.189348,Some college,1,1.0
0.0,Some college,0,1.0
.,.,1,.
48.076923,Some college,0,0.0
10.0025,HS diploma/GED,1,1.0
19.23077,HS diploma/GED,0,1.0
17.156862,Some college,0,1.0
2.34375,College degree,1,1.0
34.188034,College degree,0,1.0
28.846153,HS diploma/GED,0,1.0
9.615385,College degree,0,0.0
.,Graduate degree,1,.
.,HS diploma/GED,1,.
.,.,0,.
.,.,1,.
.,.,1,.
0.0,Graduate degree,0,1.0
0.0,Graduate degree,1,0.0
.,.,1,.
.,.,1,.
39.583332,Less than HS,1,0.0
.,Less than HS,0,.
.,Some college,1,.
.,College degree,0,.
25.874126,College degree,1,1.0
1.7361112,HS diploma/GED,1,0.0
15.0,HS diploma/GED,1,1.0
.,.,1,.
.,.,0,.
.,Less than HS,1,.
15.347222,HS diploma/GED,1,0.0
32.692307,College degree,1,1.0
.,.,1,.
.,.,1,.
.,.,0,.
57.692307,Graduate degree,0,1.0
9.0,Some college,0,0.0
25.48077,Some college,0,1.0
14.903846,HS diploma/GED,1,1.0
.,Less than HS,0,.
8.680555,HS diploma/GED,1,1.0
.,HS diploma/GED,1,.
.,HS diploma/GED,0,.
.,Less than HS,0,.
14.903846,Some college,1,1.0
16.0,Less than HS,0,1.0
11.538462,Some college,0,1.0
13.461538,Some college,1,1.0
.,Some college,1,.
13.461538,HS diploma/GED,0,1.0
.,Some college,1,.
11.904762,Some college,1,1.0
.,HS diploma/GED,0,.
.,.,1,.
28.846153,College degree,1,1.0
.,Some college,1,.
.,.,0,.
33.653847,Graduate degree,1,1.0
67.30769,Some college,0,1.0
.,Some college,0,.
17.307692,Some college,0,1.0
.,HS diploma/GED,1,.
.,Less than HS,1,.
.,Some college,0,.
.,HS diploma/GED,1,.
.,Less than HS,1,.
.,College degree,1,.
43.5906,Graduate degree,0,1.0
.,.,0,.
.,.,1,.
19.23077,HS diploma/GED,0,0.0
36.057693,Graduate degree,1,1.0
31.46853,Graduate degree,1,1.0
21.634615,College degree,0,1.0
.,HS diploma/GED,1,.
.,HS diploma/GED,1,.
.,HS diploma/GED,0,.
16.0,HS diploma/GED,0,1.0
.,HS diploma/GED,1,.
.,Less than HS,0,.
.,Some college,1,.
.,Some college,0,.
9.615385,College degree,1,1.0
8.653846,HS diploma/GED,0,1.0
26.923077,HS diploma/GED,1,0.0
.,HS diploma/GED,0,.
16.27907,College degree,0,1.0
11.538462,HS diploma/GED,0,1.0
28.846153,College degree,0,1.0
24.038462,College degree,1,1.0
32.05128,Some college,0,1.0
25.0,HS diploma/GED,1,0.0
.,.,1,.
.,.,0,.
.,.,1,.
.,College degree,1,.
7.6923075,Less than HS,1,0.0
.,HS diploma/GED,1,.
.,HS diploma/GED,1,.
4.8076925,HS diploma/GED,1,0.0
.,HS diploma/GED,0,.
.,Less than HS,0,.
.,.,0,.
.,.,0,.
.,.,1,.
30.76923,College degree,0,1.0
31.25,College degree,1,1.0
4.6153846,Graduate degree,0,0.0
72.11539,College degree,1,1.0
.,.,1,.
.,.,1,.
0.0,College degree,0,1.0
.,Graduate degree,1,.
.,.,1,.
40.10989,College degree,1,1.0
36.057693,Some college,0,1.0
26.923077,HS diploma/GED,0,1.0
16.826923,HS diploma/GED,1,1.0
.,.,0,.
.,.,1,.
.,.,1,.
39.0,HS diploma/GED,0,1.0
.,Some college,1,.
10.810811,Some college,0,1.0
.,Less than HS,1,.
.,.,1,.
18.26923,Some college,0,1.0
17.307692,Some college,1,1.0
.,HS diploma/GED,1,.
18.5,Some college,1,1.0
57.693077,College degree,0,1.0
38.46154,Graduate degree,1,1.0
12.019231,HS diploma/GED,0,1.0
.,HS diploma/GED,1,.
.,HS diploma/GED,0,.
20.833334,College degree,1,0.0
8.496732,Some college,0,0.0
.,.,1,.
.,.,1,.
.,.,0,.
28.846153,Graduate degree,1,1.0
18.229166,College degree,0,1.0
.,.,0,.
11.904762,Graduate degree,1,1.0
39.215687,Some college,1,0.0
72.11539,Some college,1,1.0
.,Some college,0,.
.,Less than HS,0,.
54.945053,College degree,0,1.0
27.472527,College degree,1,1.0
.,.,0,.
19.23077,Graduate degree,1,1.0
19.23077,Some college,1,1.0
36.057693,Graduate degree,0,1.0
.,HS diploma/GED,1,.
24.038462,HS diploma/GED,0,1.0
.,HS diploma/GED,1,.
.,Less than HS,0,.
.,HS diploma/GED,0,.
0.0,HS diploma/GED,0,1.0
.,Some college,1,.
.,.,0,.
9.615385,Some college,0,0.0
.,.,1,.
.,Some college,1,.
.,Less than HS,0,.
6.610577,HS diploma/GED,1,0.0
.,Less than HS,1,.
.,HS diploma/GED,0,.
.,Less than HS,1,.
.,HS diploma/GED,0,.
.,HS diploma/GED,0,.
48.076923,Graduate degree,0,0.0
6.6666665,Graduate degree,1,1.0
19.23077,College degree,0,1.0
14.4004,College degree,1,1.0
29.807692,Graduate degree,0,1.0
29.8583,Graduate degree,1,1.0
.,.,0,.
.,.,1,.
.,Graduate degree,0,.
.,HS diploma/GED,1,.
.,Graduate degree,0,.
.,HS diploma/GED,1,.
.,HS diploma/GED,1,.
76.92308,HS diploma/GED,0,1.0
24.038462,Graduate degree,1,1.0
62.5,Graduate degree,0,1.0
23.076923,Graduate degree,1,1.0
.,Less than HS,0,.
.,.,0,.
.,.,0,.
19.23077,Graduate degree,0,1.0
.,Less than HS,1,.
11.71875,Less than HS,0,1.0
.,Less than HS,0,.
.,.,1,.
.,.,0,.
.,.,0,.
.,.,0,.
.,.,0,.
.,.,1,.
29.807692,College degree,1,1.0
.,College degree,0,.
.,HS diploma/GED,0,.
.,HS diploma/GED,1,.
3.4965036,College degree,0,1.0
79.37063,College degree,1,1.0
4.8076925,College degree,0,1.0
.,Some college,0,.
.,HS diploma/GED,0,.
.,Some college,1,.
48.11,Less than HS,1,0.0
.,Less than HS,0,.
.,Less than HS,1,.
.,Less than HS,0,.
.,Less than HS,1,.
.,Some college,1,.
.,.,1,.
.,.,1,.
.,HS diploma/GED,0,.
.,.,1,.
14.423077,Some college,1,1.0
5.3333335,Some college,0,0.0
7.2115383,HS diploma/GED,1,1.0
.,.,1,.
.,.,0,.
.,Less than HS,0,.
.,Less than HS,0,.
7.2115383,HS diploma/GED,1,1.0
10.990109,Some college,0,1.0
31.25,Graduate degree,1,1.0
.,Some college,0,.
.,College degree,0,.
.,HS diploma/GED,1,.
70.51282,College degree,1,1.0
32.0,HS diploma/GED,0,1.0
.,Less than HS,1,.
.,Less than HS,1,.
20.192308,College degree,0,1.0
.,.,1,.
43.016193,Graduate degree,1,1.0
24.038462,College degree,0,1.0
.,.,0,.
0.0,Some college,0,0.0
0.0,Some college,1,1.0
0.0,Less than HS,1,1.0
.,.,0,.
.,.,0,.
.,HS diploma/GED,0,.
5.0,Some college,1,0.0
.,.,0,.
.,Less than HS,0,.
.,Graduate degree,1,.
33.846153,Graduate degree,0,1.0
.,Some college,1,.
.,Some college,0,.
27.777779,Some college,0,1.0
26.442308,Some college,1,1.0
.,.,0,.
.,.,0,.
5.769231,Less than HS,1,0.0
8.05009,College degree,0,1.0
.,College degree,0,.
18.26923,Some college,1,1.0
.,.,0,.
21.153847,Graduate degree,1,1.0
31.25,Some college,0,0.0
13.461538,Less than HS,1,1.0
.,.,1,.
.,.,1,.
14.423077,Less than HS,0,1.0
21.634615,College degree,0,1.0
7.2115383,Graduate degree,1,1.0
0.0,Some college,1,0.0
.,Graduate degree,1,.
.,.,1,.
134.61539,Graduate degree,0,1.0
120.0,Graduate degree,1,1.0
.,.,0,.
.,.,1,.
28.846153,Some college,0,1.0
.,Some college,0,.
.,HS diploma/GED,1,.
192.3077,Graduate degree,0,1.0
0.0,College degree,0,0.0
25.961538,College degree,1,1.0
.,.,0,.
.,HS diploma/GED,1,.
24.038462,College degree,0,1.0
.,Some college,1,.
.,HS diploma/GED,1,.
.,.,0,.
50.0,Graduate degree,1,0.0
8.0,HS diploma/GED,1,0.0
5.0,Some college,1,1.0
4.863222,Some college,1,1.0
35.714287,College degree,0,1.0
6.5384617,HS diploma/GED,1,0.0
.,HS diploma/GED,0,.
.,Less than HS,0,.
.,HS diploma/GED,1,.
.,College degree,0,.
.,Less than HS,1,.
14.423077,Some college,1,1.0
.,.,0,.
10.088272,Some college,1,1.0
50.0,Graduate degree,0,1.0
46.153847,Graduate degree,1,1.0
.,.,0,.
16.0,HS diploma/GED,0,1.0
10.576923,HS diploma/GED,1,1.0
.,Less than HS,1,.
.,.,0,.
.,Less than HS,0,.
16.826923,College degree,1,1.0
13.461538,Some college,0,1.0
.,Some college,1,.
.,Graduate degree,1,.
.,Graduate degree,0,.
.,HS diploma/GED,1,.
.,Less than HS,1,.
50.0,Graduate degree,0,1.0
14.325,HS diploma/GED,1,1.0
.,HS diploma/GED,0,.
11.954262,HS diploma/GED,1,1.0
.,HS diploma/GED,1,.
19.23077,College degree,0,1.0
54.48718,Some college,1,1.0
28.847115,HS diploma/GED,0,1.0
13.333333,College degree,1,0.0
44.0,College degree,0,1.0
.,.,0,.
8.097166,HS diploma/GED,0,1.0
12.5,HS diploma/GED,1,1.0
.,HS diploma/GED,1,.
.,HS diploma/GED,0,.
.,.,1,.
.,.,0,.
27.24359,College degree,0,1.0
0.0,College degree,1,1.0
0.0,Less than HS,0,1.0
.,HS diploma/GED,1,.
.,.,0,.
.,.,0,.
.,.,1,.
.,.,0,.
.,.,0,.
0.0,Less than HS,0,1.0
.,HS diploma/GED,1,.
.,Less than HS,0,.
.,.,0,.
373.57144,Some college,0,1.0
0.0,College degree,0,1.0
.,HS diploma/GED,0,.
.,Graduate degree,0,.
84.13461,College degree,1,1.0
9.615385,Less than HS,0,1.0
51.923077,College degree,1,1.0
21.634615,Some college,0,1.0
17.094017,College degree,1,1.0
16.483517,College degree,0,1.0
38.034187,College degree,0,1.0
23.388773,Graduate degree,1,1.0
.,.,0,.
.,.,0,.
.,HS diploma/GED,1,.
16.826923,HS diploma/GED,0,1.0
4.8076925,HS diploma/GED,1,1.0
.,HS diploma/GED,1,.
.,College degree,0,.
.,College degree,1,.
.,College degree,0,.
.,College degree,1,.
.,Some college,0,.
16.483517,College degree,1,1.0
45.454544,Some college,0,0.0
.,.,1,.
.,.,0,.
.,.,1,.
20.192308,College degree,0,1.0
30.364372,HS diploma/GED,1,1.0
12.019231,College degree,1,0.0
.,.,1,.
19.23077,HS diploma/GED,1,0.0
32.05128,Some college,0,1.0
8.333333,Less than HS,1,0.0
12.5,Less than HS,1,0.0
.,.,0,.
.,College degree,0,.
14.835165,HS diploma/GED,1,1.0
.,Some college,0,.
42.78846,Graduate degree,1,1.0
26.442308,College degree,0,1.0
.,Less than HS,0,.
.,.,0,.
0.0,HS diploma/GED,1,0.0
0.0,Some college,1,0.0
0.0,Graduate degree,0,0.0
5.952381,Some college,1,0.0
.,Some college,1,.
10.746606,College degree,0,1.0
15.0,College degree,0,1.0
.,HS diploma/GED,0,.
.,Less than HS,1,.
.,.,0,.
.,Graduate degree,1,.
.,Graduate degree,0,.
43.26923,Less than HS,1,1.0
.,HS diploma/GED,0,.
12.5,Some college,0,0.0
.,Less than HS,1,.
.,.,1,.
52.083332,Graduate degree,1,0.0
77.03297,College degree,0,1.0
.,.,0,.
.,.,0,.
.,.,0,.
0.0,Some college,1,1.0
36.057693,College degree,0,1.0
19.23077,Some college,0,1.0
19.23077,College degree,1,1.0
.,.,0,.
.,Less than HS,1,.
.,Graduate degree,1,.
.,Some college,0,.
7.2222223,HS diploma/GED,1,0.0
.,.,0,.
26.875,Some college,1,1.0
.,HS diploma/GED,1,.
0.0,Less than HS,0,0.0
.,HS diploma/GED,1,.
69.93007,College degree,0,1.0
.,.,1,.
.,.,0,.
0.0,Less than HS,1,1.0
.,.,1,.
.,.,1,.
.,HS diploma/GED,0,.
6.0096154,HS diploma/GED,1,0.0
26.923077,HS diploma/GED,0,1.0
37.39316,Some college,0,1.0
35.425102,College degree,1,1.0
.,.,0,.
.,.,0,.
.,.,0,.
.,HS diploma/GED,1,.
20.192308,HS diploma/GED,0,1.0
21.634615,Some college,0,1.0
14.423077,Some college,1,1.0
.,.,1,.
.,.,1,.
